product_id,תאור,סעיף,"סה""כ",101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,121,122,123,124,127,128,129,131,132,134,136,138,141,144,146,148,150,151,152,153,154,155,156
,,,,יפו,חיפה,בילו,ראשון לציון,באר שבע,ירקון,קריות,רעננה,אשדוד,תל אביב,חולון,ירושלים,חדרה,סגולה,נתניה,נס ציונה,עין המפרץ,כפר סבא,רמת גן,טבריה,מודיעין,אשקלון,אור יהודה,עפולה,ירושלים מערב,קריית שמונה,פרדס חנה,יריד גיימינג,נתיבות,"ב""ש גראנד קניון",עודפים אשדוד,עודפים עכו,נצרת עלית,בית שמש,מח קסטינה,מח כרמיאל,"מח גרנד ב""ש דוכן",מח נתניה גנדן,מח עפולה מרחביה,מח אילת,מח צ'ק פוסט חיפה
228867,מיקרוגל סמסונג MS23K3513AK שחור,מלאי,115,4,6,4,3,3,4,3,4,3,5,3,4,1,1,5,4,6,6,1,7,2,,2,2,3,4,2,,3,,,,3,3,2,6,,,3,,3
223277,"מנגל חשמלי זק""ש EF614 W2300",מלאי,181,6,1,6,12,2,8,1,6,10,9,9,9,2,4,6,6,5,2,5,8,8,3,4,3,5,7,7,,4,,,,3,2,6,,,6,6,,
216364,טוסטר לחיצה בוש '6פר 3302,מלאי,90,4,1,2,5,2,4,4,,1,2,4,3,3,3,4,2,3,2,10,2,4,2,1,4,,1,2,,1,,,,2,2,2,2,,2,2,,2
227333,מיקרוגל מידאה מכני 25 ל' 925 (6530),מלאי,21,,,2,2,1,,,3,,,,,,,3,4,,,,,1,,,,,,-1,,,,,,,4,,2,,,,,
231451,מיקרוגל מידאה 20ליטר כסוף MM720CA7 ,מלאי,71,1,5,,,2,,2,2,1,1,5,14,,,,,4,,1,5,1,1,1,,3,,1,,1,,,,8,,,8,,,1,,3
204331,סוחט פרי הדר גולדליין 101,מלאי,258,4,32,11,10,21,4,10,4,5,12,8,14,5,7,,7,5,8,3,3,1,4,5,17,3,6,14,,8,,,,2,4,7,1,,5,7,,1
211738,כירה חשמלית כפול ג.ליין 802,מלאי,113,6,1,2,2,19,1,1,3,5,3,1,6,2,3,1,,3,1,1,,5,5,5,5,2,5,2,,6,,,,5,5,,4,,,2,,1
214507,טוסטר ג.ליין ATL266S כסוף,מלאי,153,4,6,5,4,3,2,2,3,2,-5,17,,2,12,2,4,5,4,6,8,3,1,8,2,8,1,11,,,,,,3,5,4,7,,1,7,,6
229611,כירה חשמלית כפולה דייהו DHP-6292,מלאי,47,1,3,,7,5,1,,6,,-12,,,2,,1,,6,1,,,-1,,6,1,2,1,4,,,,,,,1,,4,,,3,,5
204367,מיחם חשמלי 172 המילטון40כ,מלאי,122,3,6,8,4,9,2,6,1,,2,7,2,2,,6,2,4,5,7,7,4,1,1,1,8,,6,,1,,,,3,1,,2,,4,4,,3
209351,טוסטר אובן המילטון 124 ני,מלאי,95,2,2,1,4,4,3,1,1,4,2,2,4,3,,4,2,2,4,3,3,3,2,3,3,2,3,3,,3,,,,6,2,3,2,,4,3,,2
227294,'מאוורר עמוד מפואר 16''  MIDEA  FS40-8JC',מלאי,51,,,,6,,,3,,,,,,,5,,,3,4,,5,,,,,5,6,,,,,,,5,,4,5,,,,,
202338,מחליק שיער פיליפס HP8309/8319,מלאי,45,2,1,,2,1,2,,2,3,,3,,1,,2,,,1,,,2,,1,,1,4,1,,,,,,,5,,1,,5,4,,1
227331,מכונת גילוח פיליפס סידרה 5 רטוב יבש S5420,מלאי,98,1,1,1,2,5,5,3,1,1,4,2,,3,,1,2,3,4,3,5,4,1,3,5,3,3,3,,5,,,,3,2,3,3,,3,3,4,3
228791,מכונת תספורת פיליפס BT5200,מלאי,80,,,1,7,1,2,,2,1,2,,2,3,2,3,4,4,1,3,5,2,3,1,1,2,3,4,,2,,,,,2,2,3,,3,1,6,2
229835,מכונת גילוח טריימר פיליפס S1520,מלאי,140,4,3,3,3,3,8,8,4,3,6,1,2,4,1,2,3,8,1,5,3,4,3,4,2,4,7,8,,6,,,,4,3,2,4,,3,3,4,4
231616,מכו' לעיצוב זקן BT7202 פיליפס,מלאי,67,,5,3,2,3,,4,,4,-1,4,5,3,2,5,3,2,1,4,,,,1,,3,1,3,,,,,,2,,,3,,,,2,3
228548,מייבש שיער רמינגטון D3015,מלאי,113,1,3,4,1,,1,2,1,5,6,4,6,,5,2,1,9,7,3,2,6,3,1,5,5,2,3,,3,,,,3,1,5,4,,7,1,,1
228550,מחליק שיער רמינגטון S1510,מלאי,141,4,3,3,5,4,2,4,4,2,4,7,4,4,2,2,6,6,4,3,4,5,3,6,6,1,3,6,,,,,,3,5,5,5,,3,6,4,3
230982,מחליק שיער רמינגטון S9100,מלאי,39,,4,,,,,3,,3,,,4,,1,,2,2,,,2,,3,,3,,,,,,,,,3,,2,4,,,,,3
217942,מחליק שיער בייביליס ST-327,מלאי,66,3,1,1,2,,1,1,,6,1,,6,1,1,1,2,5,4,1,2,,,2,,7,1,6,,,,,,3,1,1,,,4,1,,1
226686,מייבש שיער בייבליס 6604+ מברשת שיער,מלאי,123,2,3,3,3,2,4,3,4,6,2,3,4,3,5,6,5,5,5,3,6,4,2,5,7,1,,2,,3,,,,6,5,1,3,,,3,,4
230909,מסלסל שיער בייביליס BA-C903PE ורוד,מלאי,93,,3,2,3,1,2,1,3,2,4,3,4,2,1,4,3,4,3,2,2,7,5,3,3,3,,2,,3,,,,4,3,2,,,2,2,2,3
217799,מייבש שיער EUM6000 EUMPRO,מלאי,148,2,6,3,5,5,3,4,3,11,6,4,7,3,1,6,3,5,6,3,4,5,7,2,5,5,6,3,,3,,,,1,3,5,5,,3,2,,3
232344,שואב אבק LG דגם VK5320NHT,מלאי,6,,,,,,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
231868,שואב אבק סאוטר VC901,מלאי,152,3,2,2,5,1,11,4,3,2,4,3,2,4,2,3,3,6,4,6,8,6,5,6,4,4,11,5,,4,,,,6,4,3,1,,5,6,2,2
213230,גריל גז מייסטר 2801,מלאי,59,10,7,1,,3,5,3,1,,4,4,,,,,-1,2,,4,3,-1,,2,,,2,3,,,,,,1,1,,,,,2,,3
229006,שואב ציקלון קונסטרוקטה CVC228ST,מלאי,38,,1,1,,1,2,1,1,1,2,1,1,2,2,,2,1,3,3,,,1,2,1,1,1,2,,,,,,,2,,,,1,1,,1
218278,ש.אבק מידאה VCC42A1 ציקלון,מלאי,65,1,1,,,1,4,,1,1,2,4,5,1,,3,3,1,4,3,3,1,1,2,4,,4,4,,,,,,1,1,2,4,,1,1,,1
218280,ש.אבק מידאה VCM42A1 ציקלון,מלאי,24,1,,,,-2,1,,2,1,,1,1,1,,,1,1,2,1,1,1,1,,,1,,,,,,,,3,2,1,,,1,1,,1
224899,ש.אבק דייסון V6 ANIMAL סגול,מלאי,121,4,3,3,-2,2,6,2,6,1,4,3,1,1,2,5,10,6,3,6,2,4,3,3,2,2,1,6,,,,,,1,4,5,8,,,3,9,2
209682,"מאורר ג.ל 1906W תליה 16"" ",מלאי,103,2,3,4,6,6,2,5,,,4,1,1,,5,5,6,8,2,1,4,4,5,6,6,3,1,2,,1,,,,,-1,3,,,2,3,,3
211007,מאוורר ג.ליין ATL92 שחור,מלאי,51,,,2,2,5,3,,-1,,,,4,,,,2,,4,4,4,1,3,4,3,,,-1,,-1,,,,4,2,3,,,,2,,2
224195,שואב אבק נטען+מאריך AKAI3211,מלאי,31,,1,1,2,2,,5,,1,2,2,,,,,3,,1,1,2,,,1,,,,,,,,,,,3,,,,,3,,1
227779,מגהץ אדים טפאל FV3910,מלאי,77,2,3,1,3,4,,2,2,3,3,,5,1,3,2,4,2,1,3,2,3,1,1,1,1,2,1,,,,,,5,3,1,5,,1,3,,3
223147,מגהץ אדים המילטון 2501,מלאי,92,4,6,3,6,2,2,,5,3,2,4,5,2,3,3,2,5,1,5,2,,,,5,,3,3,,,,,,,6,3,1,,5,1,,
231578,שואב אבק וקס TBTTV4T1,מלאי,13,,,,,2,,1,,,2,,,,2,,,2,,,,,,2,,2,,,,,,,,,,,,,,,,
210138,כיסוי גריל CAMPTOWN 4B,מלאי,133,2,,5,3,11,,2,2,6,,3,7,1,9,5,4,4,4,3,,5,3,5,8,3,5,15,,,,,,,3,4,,,4,3,,4
